Title,Rating
1. The Shawshank Redemption,9.3(3M)
2. The Godfather,9.2(2.1M)
3. The Dark Knight,9.0(3M)
4. The Godfather Part II,9.0(1.4M)
5. 12 Angry Men,9.0(916K)
6. The Lord of the Rings: The Return of the King,9.0(2.1M)
7. Schindler's List,9.0(1.5M)
8. Pulp Fiction,8.9(2.3M)
9. The Lord of the Rings: The Fellowship of the Ring,8.9(2.1M)
"10. The Good, the Bad and the Ugly",8.8(847K)
11. Forrest Gump,8.8(2.4M)
12. The Lord of the Rings: The Two Towers,8.8(1.9M)
13. Fight Club,8.8(2.4M)
14. Inception,8.8(2.7M)
15. Star Wars: Episode V - The Empire Strikes Back,8.7(1.4M)
16. The Matrix,8.7(2.1M)
17. GoodFellas,8.7(1.3M)
18. One Flew Over the Cuckoo's Nest,8.7(1.1M)
19. Interstellar,8.7(2.3M)
20. Seven,8.6(1.9M)
21. It's a Wonderful Life,8.6(525K)
22. Seven Samurai,8.6(381K)
23. The Silence of the Lambs,8.6(1.6M)
24. Saving Private Ryan,8.6(1.6M)
25. City of God,8.6(832K)
26. The Green Mile,8.6(1.5M)
27. Life Is Beautiful,8.6(772K)
28. Terminator 2: Judgment Day,8.6(1.2M)
29. Star Wars: Episode IV - A New Hope,8.6(1.5M)
30. Back to the Future,8.5(1.4M)
31. Spirited Away,8.6(900K)
32. The Pianist,8.5(960K)
33. Gladiator,8.5(1.7M)
34. Parasite,8.5(1M)
35. Psycho,8.5(748K)
36. The Lion King,8.5(1.2M)
37. Grave of the Fireflies,8.5(343K)
38. The Departed,8.5(1.5M)
39. Whiplash,8.5(1.1M)
40. Harakiri,8.6(78K)
41. American History X,8.5(1.2M)
42. The Prestige,8.5(1.5M)
43. Leon,8.5(1.3M)
44. Spider-Man: Across the Spider-Verse,8.5(442K)
45. Casablanca,8.5(628K)
46. The Usual Suspects,8.5(1.2M)
47. Untouchable,8.5(971K)
48. Cinema Paradiso,8.5(299K)
49. Modern Times,8.5(271K)
50. Alien,8.5(1M)
51. Rear Window,8.5(543K)
52. Once Upon a Time in the West,8.5(365K)
53. Django Unchained,8.5(1.8M)
54. City Lights,8.5(206K)
55. Apocalypse Now,8.4(737K)
